app ID, api IDs
10000, 2469 2525 2041 2101 1762
10001, 2861 2443 2642 2201 1496
10002, 1212 2926 2647 1762 1772
10003, 1086 1276 1383 2849 2926 1480 1714 2642 1982 1775 1762 2231
10004, 1086 2861 2469 2267 2274 2642 2635 1775
10005, 1383 2861 2469 2443 2926 1480 1714 2593 2930 1982 1762 1496
10006, 1086 2469 2926 1480 2632 2560 2559
10007, 2466 2274 2642
10008, 1086 1276 1383 2853 2525 2926 2041 1714 2275 2274 2594 2930 2642 1982 1763 1762
10009, 1086
10010, 2861 2466 2476 1714 2690 2635 1982
10011, 1086 1276 1383 2868 2860 2861 2469 2926 1714 2274 2930 2642 2628 2647 2635 1982 1762
10012, 1008 1276 1383 2861 2469 2443 1714 2593 2930 2642 2631 2635 1982 2201 1496
10013, 1086 1276 1383 2868 2860 2861 2469 2926 1714 2274 2930 2642 2628 2647 2635 1982 1762
10014, 1086 1276 1383 2861 1480 1714 2642 2635 2559 1982
10015, 1086 2041 1723 1714 2274 1982 1762
10016, 2926
10017, 1276 1383 2861 1719 1714 2930 2642 2635 1982
10018, 2861
10019, 2525 2041
10020, 2274
10021, 2861 2583 1982
10022, 2525 2041
10023, 2275 2285 2642 2647
10024, 1086 1276 1383 2861 1714 2930 2191 2642 2559 1982 2720
10025, 1276 2926 1714 1982
10026, 1383 2861 1480 2930 2642 2635 1982 2201 1762
10027, 1276 1383 2861 2466 2474 2525 2926 1714 2274 2183 2642 2631 2635 1982 2201 1762
10028, 2926
10029, 1276 1383 2861 2466 2474 2525 2926 1714 2274 2183 2642 2631 2635 1982 2201 1762
10030, 1276 1383 2861 2466 2474 2525 2926 1714 2274 2183 2642 2631 2635 1982 2201 1762
10031, 1249
10032, 1008 1276 1383 2877 2860 2861 2469 2443 2926 1714 2593 2930 2642 2631 2635 1982 2201 1496
10033, 1086 2861 2469 2930
10034, 1086 2861 2274 2642 2635 1775 1762
10035, 2841 2525 2041 2822 2635 2201 2835
10036, 2861 2926 2274 2642 2635 2201 1765
10037, 1086 1249 1252 1276 1383 2853 2869 2882 2861 2469 2443 2926 1714 2279 2285 2101 2593 2930 1419 2705 2515 1857 2191 2642 2645 2635 2559 1982 2201 2826 1762 1769 1496 2727 1945
10038, 2559 1772
10039, 2635
